Ten,Gia ban,Nhom,So lg.,Ma vach,Gia nhap,DpH,
!PANZANI kolinka 500g,44.9,13 -- Potraviny,-38,3038359004971,,,
!Pringles 190g,54.9,13 -- Potraviny,0,5053990148134,,,
!Schinken100g,39.9,13 -- Potraviny,-19,4003419002500,0,12,
!SNICKERS WHITE  49g,14.9,13 -- Potraviny,0,5000159492539,,,
!Svijany svetly 0.5l( 5.6%alk ),22.9,01 -- Alkohol - Pivo - Víno,0,8594030013151,,,
!Syrove koule 120g,29.9,13 -- Potraviny,-135,8594001193578,,,
!Toustovy chleb 500g,29.9,13 -- Potraviny,0,8594161743545,,,
!Tvaroh mekky 250g (5%tuku ),27.9,13 -- Potraviny,-106,85905962,0,12,
!Twix white 46g,17.9,13 -- Potraviny,-143,5000159486972,,12,
!tycinky s arasidy 60g,7.9,13 -- Potraviny,0,20882136,,,
!Vinarstvi hodonin souvinon 0.75l,129,01 -- Alkohol - Pivo - Víno,-13,8595625601043,,,
!vinea grizzante 250ml,15.9,09 -- Napoje,0,8586019830040,,,
!ZEWA 8ks,119,04 -- Drogerie,-131,7322541171777,,,
AKCE Rio Mare - Per Pasta  tunak zpusob 160g,69.9,13 -- Potraviny,0,8004030017047,0,,
AKCERiO mare 160g,64.9,13 -- Potraviny,0,8004030851115,0,,
AKCERIO mare Tonno al Naturale 160g,79.9,13 -- Potraviny,-86,80040446,0,,
RIO-mare tuHak v olivovem 160g,79.9,13 -- Potraviny,-48,8004030044005,0,,
AKCELook kids,19,04 -- Drogerie,0,8698492050089,0,,
Fruits au chocolat de 250g   Akce,49.9,13 -- Potraviny,0,20097189,0,,
SKLEVAGigas sport,37.9,04 -- Drogerie,0,8595249400268,0,,
SLEVA Rj001,25,04 -- Drogerie,0,8590795215403,0,,
Vollmiich schokolade ''SLEVA,19.9,13 -- Potraviny,0,20079109,0,,
. Hello multivitamin 1l,34.9,09 -- Napoje,0,8590014821521,0,21,
.Bio syceny ovocny napoj 275ml,39.9,09 -- Napoje,0,8006672100019,,,
.Bio syceny ovocny napoj 275ml,39.9,09 -- Napoje,0,8006672500017,,,
.Bio syceny ovocny napoj 275ml,39.9,09 -- Napoje,0,8006672500031,,,
.Bio syceny ovocny napoj 275ml,39.9,09 -- Napoje,0,8006672100002,,,
.Kofola bez cukru 2l,39.9,09 -- Napoje,-21,8594003843914,0,,
.Merci 100g,49.9,13 -- Potraviny,0,4014400925265,,,
.semtex 500ml,24.9,09 -- Napoje,0,8594003847790,0,,
/14/plastové kolíčky na p,49.9,13 -- Potraviny,-1,8595249156905,0,,
/24/sáčky na odpad 110l 1,38.9,13 -- Potraviny,-14,8595249151108,0,,
/28/koncovka k mopu,69.9,04 -- Drogerie,-3,8595249143493,0,,
/smc/danh trung co bong ben tron,69.9,13 -- Potraviny,-3,8595249163859,0,,
/smc/mo bia inox magicline cook,69,04 -- Drogerie,0,8595249152518,0,,
/smc/thia cocktail can su 20cm 2,59.9,13 -- Potraviny,-1,8595249171168,0,,
/uni/gang tay cao su gia dinh 4m,44.9,13 -- Potraviny,-10,8595249174336,0,,
